First 10 Lines:
!4+ABv  00000000000000000000000017F7E829  EEEE3333444411112222888833334444666633332222DDDDEEEE 
    "O!uve  000000000000000000000000001228D4  77778888000022224444DDDDDDDDEEEE00000000CCCC7777DDDD 
    %!$sU(  0000000000000000000000002E6C821C  2222333377774444555511119999CCCC4444EEEEFFFF11115555 
    &5rX|X  000000000000000000000000399BC288  5555CCCCBBBB99999999DDDD111100001111EEEE7777DDDD9999 
    'ic%So  00000000000000000000000031F06B7D  EEEEBBBBAAAA8888DDDDDDDD777722224444111166664444AAAA 
    *0G1Io  0000000000000000000000003B5E85A1  1111AAAA9999CCCCBBBB111199991111333399991111AAAA6666 
    ,(GhT_  0000000000000000000000002D0172DC  1111CCCC1111DDDDCCCCEEEE9999CCCC8888CCCCFFFF55555555 
    0*vYm3  00000000000000000000000026D61578  DDDD7777AAAAEEEEEEEE6666AAAA2222CCCC5555555522229999 
    2C>)8d  00000000000000000000000026C79E66  444400001111CCCC6666BBBB555577776666CCCC2222AAAABBBB 
    PMd32=  00000000000000000000000003440CC1  FFFFEEEE6666CCCCBBBB999933335555DDDDDDDD777788886666

Last 10 Lines:
~~~~#iay1X  00000000000000000000000025D35EDF  6666AAAA5555999977770000222233338888FFFF999922220000 
~~~~+@p){@  000000000000000000000000085426F4  777733335555111111110000CCCC55559999AAAA7777DDDDDDDD 
~~~~,R^_?n  0000000000000000000000001034E347  111111119999000011118888AAAA55554444EEEE999933338888 
~~~~.Ey`^)  00000000000000000000000016F0E66B  CCCC6666DDDD2222DDDD111188889999EEEEEEEEEEEEBBBB4444 
~~~~4!kA7x  0000000000000000000000001F1A1E26  EEEE777711117777BBBB1111EEEE88884444DDDDDDDDEEEEBBBB 
~~~~8Ii/!@  0000000000000000000000001F05932F  11119999BBBB44447777000011114444CCCCAAAA6666DDDD0000 
~~~~<I'5>F  00000000000000000000000008CB2293  88883333BBBB111166669999888855558888888822228888CCCC 
~~~~G-)m^)  00000000000000000000000013397F73  DDDDFFFFBBBBCCCCFFFF44446666AAAA111133333333AAAACCCC 
~~~~c+I&cP  000000000000000000000000074BDF64  8888000055550000DDDD22227777AAAA000033332222AAAADDDD 
~~~~hb&5X*  00000000000000000000000032C0E06B  7777BBBBBBBB9999EEEEAAAAAAAA0000CCCCDDDD4444BBBB4444
